2020-04-12 19:48:50.336 INFO  [main] org.apdplat.word.util.WordConfTools - 30、word.antonym.path=
2020-04-12 19:48:50.336 INFO  [main] org.apdplat.word.util.WordConfTools - 31、word.refine.combine.max.length=3
2020-04-12 19:48:50.336 INFO  [main] org.apdplat.word.util.WordConfTools - 32、word.refine.path=classpath:word_refine.txt
2020-04-12 19:48:50.336 INFO  [main] org.apdplat.word.util.WordConfTools - 33、word.synonym.path=
2020-04-12 19:48:50.338 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - dic.class=org.apdplat.word.dictionary.impl.DictionaryTrie
2020-04-12 19:48:50.341 INFO  [main] org.apdplat.word.dictionary.impl.DictionaryTrie - 初始化词典：org.apdplat.word.dictionary.impl.DictionaryTrie
2020-04-12 19:48:50.343 INFO  [main] org.apdplat.word.util.AutoDetector - 开始加载资源
2020-04-12 19:48:50.344 INFO  [main] org.apdplat.word.util.AutoDetector - classpath:dic/ext_name_word.txt,classpath:dic/ext_area_word.txt,classpath:punctuation.txt,,,
2020-04-12 19:48:50.344 INFO  [main] org.apdplat.word.util.AutoDetector - 类路径资源：dic/ext_name_word.txt
2020-04-12 19:48:50.344 INFO  [main] org.apdplat.word.util.AutoDetector - 类路径资源URL：file:/Users/yingch/work/git-project/mary/adr/target/classes/dic/ext_name_word.txt
2020-04-12 19:48:50.344 INFO  [main] org.apdplat.word.util.AutoDetector - 加载资源：/Users/yingch/work/git-project/mary/adr/target/classes/dic/ext_name_word.txt
2020-04-12 19:48:50.344 INFO  [main] org.apdplat.word.util.AutoDetector - 监控文件：/Users/yingch/work/git-project/mary/adr/target/classes/dic/ext_name_word.txt
2020-04-12 19:48:50.347 INFO  [main] org.apdplat.word.util.DirectoryWatcher - 注册事件：ENTRY_MODIFY
2020-04-12 19:48:50.348 INFO  [main] org.apdplat.word.util.DirectoryWatcher - 注册事件：ENTRY_DELETE
2020-04-12 19:48:50.360 INFO  [main] org.apdplat.word.util.DirectoryWatcher - 监控目录:/Users/yingch/work/git-project/mary/adr/target/classes/dic
2020-04-12 19:48:50.374 INFO  [main] org.apdplat.word.util.AutoDetector - 类路径资源：dic/ext_area_word.txt
2020-04-12 19:48:50.375 INFO  [main] org.apdplat.word.util.AutoDetector - 类路径资源URL：file:/Users/yingch/work/git-project/mary/adr/target/classes/dic/ext_area_word.txt
2020-04-12 19:48:50.375 INFO  [main] org.apdplat.word.util.AutoDetector - 加载资源：/Users/yingch/work/git-project/mary/adr/target/classes/dic/ext_area_word.txt
2020-04-12 19:48:50.378 INFO  [main] org.apdplat.word.util.AutoDetector - 监控文件：/Users/yingch/work/git-project/mary/adr/target/classes/dic/ext_area_word.txt
2020-04-12 19:48:50.378 INFO  [main] org.apdplat.word.util.DirectoryWatcher - 注册事件：ENTRY_MODIFY
2020-04-12 19:48:50.378 INFO  [main] org.apdplat.word.util.DirectoryWatcher - 注册事件：ENTRY_DELETE
2020-04-12 19:48:50.378 INFO  [main] org.apdplat.word.util.DirectoryWatcher - 监控目录:/Users/yingch/work/git-project/mary/adr/target/classes/dic
2020-04-12 19:48:50.378 INFO  [main] org.apdplat.word.util.AutoDetector - 类路径资源：punctuation.txt
2020-04-12 19:48:50.379 INFO  [main] org.apdplat.word.util.AutoDetector - 类路径资源URL：jar:file:/Users/yingch/.m2/repository/org/apdplat/word/1.3/word-1.3.jar!/punctuation.txt
2020-04-12 19:48:50.379 INFO  [main] org.apdplat.word.util.AutoDetector - 加载资源：classpath:punctuation.txt
2020-04-12 19:48:50.379 INFO  [main] org.apdplat.word.util.AutoDetector - 加载资源 3764 行
2020-04-12 19:48:50.380 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 初始化词典
2020-04-12 19:48:50.383 INFO  [main] org.apdplat.word.util.AutoDetector - 开始加载资源
2020-04-12 19:48:50.383 INFO  [main] org.apdplat.word.util.AutoDetector - classpath:surname.txt
2020-04-12 19:48:50.383 INFO  [main] org.apdplat.word.util.AutoDetector - 类路径资源：surname.txt
2020-04-12 19:48:50.384 INFO  [main] org.apdplat.word.util.AutoDetector - 类路径资源URL：jar:file:/Users/yingch/.m2/repository/org/apdplat/word/1.3/word-1.3.jar!/surname.txt
2020-04-12 19:48:50.384 INFO  [main] org.apdplat.word.util.AutoDetector - 加载资源：classpath:surname.txt
2020-04-12 19:48:50.385 INFO  [main] org.apdplat.word.util.AutoDetector - 加载资源 508 行
2020-04-12 19:48:50.385 INFO  [main] org.apdplat.word.recognition.PersonName - 初始化百家姓
2020-04-12 19:48:50.386 INFO  [main] org.apdplat.word.recognition.PersonName - 百家姓初始化完毕，单姓个数：446，复姓个数：60
2020-04-12 19:48:50.386 INFO  [main] org.apdplat.word.util.AutoDetector - 完成加载资源，耗时3 毫秒
2020-04-12 19:48:50.386 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 将 60 个复姓加入词典
2020-04-12 19:48:50.421 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词数目：3689，词典最大词长：15
2020-04-12 19:48:50.421 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词长  1 的词数为：47
2020-04-12 19:48:50.421 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词长  2 的词数为：480
2020-04-12 19:48:50.421 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词长  3 的词数为：2720
2020-04-12 19:48:50.421 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词长  4 的词数为：213
2020-04-12 19:48:50.421 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词长  5 的词数为：52
2020-04-12 19:48:50.421 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词长  6 的词数为：11
2020-04-12 19:48:50.421 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词长  7 的词数为：83
2020-04-12 19:48:50.421 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词长  8 的词数为：23
2020-04-12 19:48:50.421 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词长  9 的词数为：22
2020-04-12 19:48:50.421 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词长 10 的词数为：24
2020-04-12 19:48:50.421 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词长 11 的词数为：9
2020-04-12 19:48:50.421 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词长 12 的词数为：2
2020-04-12 19:48:50.422 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词长 13 的词数为：1
2020-04-12 19:48:50.422 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词长 15 的词数为：2
2020-04-12 19:48:50.422 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词典平均词长：3.1753862
2020-04-12 19:48:50.423 INFO  [main] org.apdplat.word.dictionary.impl.DictionaryTrie - 冲突次数：0
2020-04-12 19:48:50.423 INFO  [main] org.apdplat.word.dictionary.impl.DictionaryTrie - 总槽数：48000
2020-04-12 19:48:50.423 INFO  [main] org.apdplat.word.dictionary.impl.DictionaryTrie - 用槽数：998
2020-04-12 19:48:50.423 INFO  [main] org.apdplat.word.dictionary.impl.DictionaryTrie - 使用率：2.0791667%
2020-04-12 19:48:50.423 INFO  [main] org.apdplat.word.dictionary.impl.DictionaryTrie - 剩槽数：47002
2020-04-12 19:48:50.502 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - 词典初始化完毕，耗时：121 毫秒
2020-04-12 19:48:50.503 INFO  [main] org.apdplat.word.util.AutoDetector - 完成加载资源，耗时159 毫秒
2020-04-12 19:48:50.508 INFO  [main] org.apdplat.word.util.AutoDetector - 开始加载资源
2020-04-12 19:48:50.509 INFO  [main] org.apdplat.word.util.AutoDetector - classpath:punctuation.txt
2020-04-12 19:48:50.509 INFO  [main] org.apdplat.word.util.AutoDetector - 类路径资源：punctuation.txt
2020-04-12 19:48:50.509 INFO  [main] org.apdplat.word.util.AutoDetector - 类路径资源URL：jar:file:/Users/yingch/.m2/repository/org/apdplat/word/1.3/word-1.3.jar!/punctuation.txt
2020-04-12 19:48:50.509 INFO  [main] org.apdplat.word.util.AutoDetector - 加载资源：classpath:punctuation.txt
2020-04-12 19:48:50.509 INFO  [main] org.apdplat.word.util.AutoDetector - 加载资源 48 行
2020-04-12 19:48:50.509 INFO  [main] org.apdplat.word.recognition.Punctuation - 初始化标点符号
2020-04-12 19:48:50.509 INFO  [main] org.apdplat.word.recognition.Punctuation - 标点符号初始化完毕，标点符号个数：52
2020-04-12 19:48:50.510 INFO  [main] org.apdplat.word.util.AutoDetector - 完成加载资源，耗时1 毫秒
2020-04-12 19:48:50.518 INFO  [ForkJoinPool.commonPool-worker-1] org.apdplat.word.util.AutoDetector - 开始加载资源
2020-04-12 19:48:50.518 INFO  [ForkJoinPool.commonPool-worker-1] org.apdplat.word.util.AutoDetector - classpath:quantifier.txt
2020-04-12 19:48:50.518 INFO  [ForkJoinPool.commonPool-worker-1] org.apdplat.word.util.AutoDetector - 类路径资源：quantifier.txt
2020-04-12 19:48:50.518 INFO  [ForkJoinPool.commonPool-worker-1] org.apdplat.word.util.AutoDetector - 类路径资源URL：jar:file:/Users/yingch/.m2/repository/org/apdplat/word/1.3/word-1.3.jar!/quantifier.txt
2020-04-12 19:48:50.518 INFO  [ForkJoinPool.commonPool-worker-1] org.apdplat.word.util.AutoDetector - 加载资源：classpath:quantifier.txt
2020-04-12 19:48:50.518 INFO  [ForkJoinPool.commonPool-worker-1] org.apdplat.word.util.AutoDetector - 加载资源 164 行
2020-04-12 19:48:50.518 INFO  [ForkJoinPool.commonPool-worker-1] org.apdplat.word.recognition.Quantifier - 初始化数量词
2020-04-12 19:48:50.519 INFO  [ForkJoinPool.commonPool-worker-1] org.apdplat.word.recognition.Quantifier - 数量词初始化完毕，数量词个数：164
2020-04-12 19:48:50.519 INFO  [ForkJoinPool.commonPool-worker-1] org.apdplat.word.util.AutoDetector - 完成加载资源，耗时1 毫秒
2020-04-12 19:48:50.519 INFO  [main] org.apdplat.word.segmentation.SegmentationFactory - 构造分词实现类：org.apdplat.word.segmentation.impl.ReverseMaximumMatching
2020-04-12 19:48:51.059 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@42721fe: startup date [Sun Apr 12 19:48:48 CST 2020]; root of context hierarchy
2020-04-12 19:48:51.119 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/resolveAddress]}" onto public java.lang.String com.liyuan3210.adr.controller.AddressController.resolveAddress(javax.servlet.http.HttpServletRequest,java.lang.String)
2020-04-12 19:48:51.124 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2020-04-12 19:48:51.124 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2020-04-12 19:48:51.150 INFO  [main] o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2020-04-12 19:48:51.150 INFO  [main] o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2020-04-12 19:48:51.187 INFO  [main] o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2020-04-12 19:48:51.380 INFO  [main] o.s.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2020-04-12 19:48:51.399 INFO  [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-04-12 19:48:51.405 INFO  [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-04-12 19:48:51.429 INFO  [main] org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2020-04-12 19:48:51.445 INFO  [main] o.s.b.c.e.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http)
2020-04-12 19:48:51.449 INFO  [main] com.liyuan3210.adr.Main - Started Main in 3.09 seconds (JVM running for 4.886)
2020-04-12 19:49:21.513 INFO  [http-nio-8080-exec-1] org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1583489181] that contained an invalid cookie. That cookie will be ignored.Note: further occurrences of this error will be logged at DEBUG level.
2020-04-12 19:49:21.520 INFO  [http-nio-8080-exec-1] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2020-04-12 19:49:21.520 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2020-04-12 19:49:21.537 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 17 ms
2020-04-12 19:49:21.572 INFO  [http-nio-8080-exec-1] org.apdplat.word.util.AutoDetector - 没有资源可以加载
2020-04-12 19:49:21.575 INFO  [http-nio-8080-exec-1] org.apdplat.word.util.AutoDetector - 没有资源可以加载
2020-04-12 19:49:21.667 INFO  [http-nio-8080-exec-1] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 检查语句【青浦区盈港东路88号李四15618552722】中是否包含区（县），分词结果：["青浦区","盈","港","东路","88号","李四","15618552722"]
2020-04-12 19:49:21.775 INFO  [http-nio-8080-exec-1] com.liyuan3210.adr.cache.AreaCache - 加载区（县）-省市区映射关系【2861条】
2020-04-12 19:49:21.776 INFO  [http-nio-8080-exec-1] com.liyuan3210.adr.cache.AreaCache - 加载省市【398条】
2020-04-12 19:49:21.779 INFO  [http-nio-8080-exec-1] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 原语句【青浦区盈港东路88号李四】，分词结果：["青浦区","盈","港","东路","88号","李四"]
2020-04-12 19:49:26.677 INFO  [http-nio-8080-exec-2] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 地址【古镇镇广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明000000区】未能匹配到任何手机和固定电话号码
2020-04-12 19:49:26.679 INFO  [http-nio-8080-exec-2] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 检查语句【古镇镇广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明000000区】中是否包含区（县），分词结果：["古镇镇","广东省","中山市","古镇镇","曹","三大","力","橡","胶","厂","旁","亿","嘉","照","明","000000区"]
2020-04-12 19:50:15.796 INFO  [http-nio-8080-exec-4] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 地址【古镇镇广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明000000区】未能匹配到任何手机和固定电话号码
2020-04-12 19:50:15.801 INFO  [http-nio-8080-exec-4] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 检查语句【古镇镇广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明000000区】中是否包含区（县），分词结果：["古镇镇","广东省","中山市","古镇镇","曹","三大","力","橡","胶","厂","旁","亿","嘉","照","明","000000区"]
2020-04-12 19:50:22.097 INFO  [http-nio-8080-exec-5] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 地址【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明000000区】未能匹配到任何手机和固定电话号码
2020-04-12 19:50:22.099 INFO  [http-nio-8080-exec-5] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 检查语句【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明000000区】中是否包含区（县），分词结果：["广东省","中山市","古镇镇","曹","三大","力","橡","胶","厂","旁","亿","嘉","照","明","000000区"]
2020-04-12 19:50:26.349 INFO  [http-nio-8080-exec-7] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 地址【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明000000区】未能匹配到任何手机和固定电话号码
2020-04-12 19:50:26.351 INFO  [http-nio-8080-exec-7] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 检查语句【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明000000区】中是否包含区（县），分词结果：["广东省","中山市","古镇镇","曹","三大","力","橡","胶","厂","旁","亿","嘉","照","明","000000区"]
2020-04-12 19:50:40.200 INFO  [http-nio-8080-exec-9] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 地址【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明区】未能匹配到任何手机和固定电话号码
2020-04-12 19:50:40.202 INFO  [http-nio-8080-exec-9] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 检查语句【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明区】中是否包含区（县），分词结果：["广东省","中山市","古镇镇","曹","三大","力","橡","胶","厂","旁","亿","嘉","照","明区"]
2020-04-12 19:50:46.577 INFO  [http-nio-8080-exec-10] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 地址【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明区】未能匹配到任何手机和固定电话号码
2020-04-12 19:50:46.581 INFO  [http-nio-8080-exec-10] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 检查语句【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明区】中是否包含区（县），分词结果：["广东省","中山市","古镇镇","曹","三大","力","橡","胶","厂","旁","亿","嘉","照","明区"]
2020-04-12 19:50:52.576 INFO  [http-nio-8080-exec-3] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 检查语句【青浦区盈港东路88号李四15618552722】中是否包含区（县），分词结果：["青浦区","盈","港","东路","88号","李四","15618552722"]
2020-04-12 19:50:52.578 INFO  [http-nio-8080-exec-3] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 原语句【青浦区盈港东路88号李四】，分词结果：["青浦区","盈","港","东路","88号","李四"]
2020-04-12 19:50:54.382 INFO  [http-nio-8080-exec-5] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 检查语句【青浦区盈港东路88号李四15618552722】中是否包含区（县），分词结果：["青浦区","盈","港","东路","88号","李四","15618552722"]
2020-04-12 19:50:54.383 INFO  [http-nio-8080-exec-5] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 原语句【青浦区盈港东路88号李四】，分词结果：["青浦区","盈","港","东路","88号","李四"]
2020-04-12 19:51:12.843 INFO  [http-nio-8080-exec-8] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 地址【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明区】未能匹配到任何手机和固定电话号码
2020-04-12 19:51:12.844 INFO  [http-nio-8080-exec-8] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 检查语句【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明区】中是否包含区（县），分词结果：["广东省","中山市","古镇镇","曹","三大","力","橡","胶","厂","旁","亿","嘉","照","明区"]
2020-04-12 19:51:24.775 INFO  [http-nio-8080-exec-10] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 地址【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明区】未能匹配到任何手机和固定电话号码
2020-04-12 19:51:24.777 INFO  [http-nio-8080-exec-10] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 检查语句【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明区】中是否包含区（县），分词结果：["广东省","中山市","古镇镇","曹","三大","力","橡","胶","厂","旁","亿","嘉","照","明区"]
2020-04-12 19:51:34.838 INFO  [http-nio-8080-exec-2] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 地址【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明区】未能匹配到任何手机和固定电话号码
2020-04-12 19:51:34.840 INFO  [http-nio-8080-exec-2] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 检查语句【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明区】中是否包含区（县），分词结果：["广东省","中山市","古镇镇","曹","三大","力","橡","胶","厂","旁","亿","嘉","照","明区"]
2020-04-12 19:51:43.634 INFO  [http-nio-8080-exec-3] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 地址【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明区】未能匹配到任何手机和固定电话号码
2020-04-12 19:51:43.636 INFO  [http-nio-8080-exec-3] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 检查语句【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明区】中是否包含区（县），分词结果：["广东省","中山市","古镇镇","曹","三大","力","橡","胶","厂","旁","亿","嘉","照","明区"]
2020-04-12 20:00:59.088 INFO  [http-nio-8080-exec-6] c.liyuan3210.adr.service.impl.TokenizerServiceImpl - 地址【广东省中山市古镇镇曹三大力橡胶厂旁亿嘉照明区】未能匹配到任何手机和固定电话号码
