2020-04-19 09:45:46.027 INFO  [main] org.apdplat.word.util.WordConfTools - 8、double.array.dictionary.trie.size=5120000
2020-04-19 09:45:46.027 INFO  [main] org.apdplat.word.util.WordConfTools - 9、intercept.length=16
2020-04-19 09:45:46.027 INFO  [main] org.apdplat.word.util.WordConfTools - 10、keep.punctuation=false
2020-04-19 09:45:46.027 INFO  [main] org.apdplat.word.util.WordConfTools - 11、keep.whitespace=false
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 12、ngram=bigram
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 13、parallel.seg=true
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 14、part.of.speech.des.path=
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 15、part.of.speech.dic.path=
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 16、person.name.recognize=true
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 17、punctuation.path=classpath:punctuation.txt
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 18、quantifier.path=classpath:quantifier.txt
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 19、recognition.tool.enabled=true
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 20、redis.host=localhost
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 21、redis.port=6379
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 22、stopwords.path=classpath:dic/ext_stopword.txt
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 23、surname.path=classpath:surname.txt
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 24、tagging.antonym=false
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 25、tagging.pinyin.acronym=false
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 26、tagging.pinyin.full=false
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 27、tagging.synonym=false
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 28、trigram.double.array.trie.size=9800000
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 29、trigram.path=
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 30、word.antonym.path=
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 31、word.refine.combine.max.length=3
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 32、word.refine.path=classpath:word_refine.txt
2020-04-19 09:45:46.028 INFO  [main] org.apdplat.word.util.WordConfTools - 33、word.synonym.path=
2020-04-19 09:45:46.030 INFO  [main] org.apdplat.word.dictionary.DictionaryFactory - dic.class=org.apdplat.word.dictionary.impl.DictionaryTrie
2020-04-19 09:45:46.032 INFO  [main] org.apdplat.word.dictionary.impl.DictionaryTrie - 初始化词典：org.apdplat.word.dictionary.impl.DictionaryTrie
2020-04-19 09:45:46.034 INFO  [main] org.apdplat.word.util.AutoDetector - 开始加载资源
2020-04-19 09:45:46.034 INFO  [main] org.apdplat.word.util.AutoDetector - classpath:dic/ext_name_word.txt,classpath:dic/ext_area_word.txt,classpath:punctuation.txt,,,
2020-04-19 09:45:46.034 INFO  [main] org.apdplat.word.util.AutoDetector - 类路径资源：dic/ext_name_word.txt
2020-04-19 09:45:46.034 INFO  [main] org.apdplat.word.util.AutoDetector - 类路径资源URL：file:/Users/yingch/work/git-project/mary/adr/target/classes/dic/ext_name_word.txt
2020-04-19 09:45:46.034 INFO  [main] org.apdplat.word.util.AutoDetector - 加载资源：/Users/yingch/work/git-project/mary/adr/target/classes/dic/ext_name_word.txt
2020-04-19 09:45:46.034 INFO  [main] org.apdplat.word.util.AutoDetector - 监控文件：/Users/yingch/work/git-project/mary/adr/target/classes/dic/ext_name_word.txt
2020-04-19 09:45:46.037 INFO  [main] org.apdplat.word.util.DirectoryWatcher - 注册事件：ENTRY_MODIFY
2020-04-19 09:45:46.037 INFO  [main] org.apdplat.word.util.DirectoryWatcher - 注册事件：ENTRY_DELETE
